Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2",Arduino_Nano,2,Arduino_Nano_Every,
D1,D_A-405_P7.62mm_Horizontal,1,D,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,4,MountingHole_Pad,
"J1, J6",RHDR16W80P550X350_2X8_2870X850X1420P,2,TBLH10V-350-08BK,
"J2, J3, J4, J7",RHDR4W80P550X350_2X2_770X850X1420P,4,TBLH10V-350-02BK,
J5,CONN_MTJ-889X1_ADM,1,MTJ-889X1,
"K1, K2, K3, K4, K5",CPC1706Y,5,CPC1706Y,
"R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,8,R,
RV1,PinSocket_1x03_P2.54mm_Vertical,1,R_Potentiometer,
