Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8",D_DO-41_SOD81_P7.62mm_Horizontal,8,1N4004,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,DSUB-9_Pins_Vertical_P2.77x2.84mm_MountingHoles,1,DB9_INPUT,
"J2, J3",RHDR16W80P550X350_2X8_2870X850X1420P,2,SOL. CHANS.,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,100K,
