Designator,Mid X,Mid Y,Rotation,Layer
C1,54.279999,-63.479999,270.0,top
C2,54.329999,-56.23,90.0,top
D1,56.36,-52.692499,270.0,top
D2,52.279999,-66.929999,90.0,top
IC1,53.379999,-59.83,180.0,top
J1,34.925,-41.950001,270.0,top
J2,73.024999,-41.91,90.0,top
J3,41.95,-63.02,270.0,top
J4,66.0,-63.02,90.0,top
J5,61.299999,-76.23,0.0,top
J6,47.459999,-76.23,0.0,top
Q2,57.129999,-60.15,90.0,top
R1,56.36,-56.242499,90.0,top
R2,52.279999,-63.479999,270.0,top
