Designator,Mid X,Mid Y,Rotation,Layer
D1,99.046,-34.046,270.0,top
J1,30.988,-37.846,90.0,top
J2,80.76,-32.69,180.0,top
J3,50.87,-32.7,180.0,top
J4,50.87,-43.334,180.0,top
J5,80.76,-43.334,180.0,top
J6,106.642,-37.856,90.0,top
R1,99.046,-40.904,270.0,top
