Designator,Mid X,Mid Y,Rotation,Layer
D1,66.766234,-47.3,0.0,bottom
D2,59.574234,-47.3,0.0,bottom
D3,52.382234,-47.3,0.0,bottom
D4,45.190234,-47.3,0.0,bottom
D5,37.998234,-47.3,0.0,bottom
D6,30.806234,-47.3,0.0,bottom
J1,48.27,-56.95,0.0,bottom
U1,48.72,-34.67,0.0,top
